target	run_key	episode_id	attempt_id	canonical_instrument	holdout_id	target_censored	target_label	ordinal	direction	node_width_atr	initial_distance_atr	approach_efficiency	corridor_up_atr	corridor_down_atr	family_count	member_count	developing_count	frozen_count	node_revision	node_age_seconds	corridor_up_level_count	corridor_down_level_count	corridor_up_noise_count	corridor_down_noise_count	start_median_sigma	node_from_median_sigma	node_from_cog_sigma	node_width_sigma	feature_cog_distance_atr	feature_cog_velocity_atr	feature_c3_distance_atr	feature_c3_velocity_atr	feature_lattice_width_atr	feature_poc_distance_atr	feature_vah_distance_atr	feature_val_distance_atr	feature_spread_atr	feature_raw_level_count	feature_noise_level_count	feature_active_node_count	feature_population_count	feature_population_count_delta	feature_price_from_median_atr	feature_price_from_median_sigma	feature_price_from_cog_atr	feature_price_from_cog_sigma	feature_cog_median_gap_atr	feature_cog_median_gap_sigma	feature_regional_cog_velocity_atr	feature_regional_cog_velocity_sigma	feature_regional_median_velocity_atr	feature_regional_median_velocity_sigma	feature_regional_sigma_log_change_per_bar	contributor_count	eligibility_latency_seconds	server_hour_sin	server_hour_cos	canonical_instrument	start_region	node_region	contributor_families	contributor_producers
retest_hold_given_retest_contact	RG2_DE40_PERIOD_M5_1770595200_1771027200_11009031893861184278	14978647223693138341	9046760034708024592	DE40	VERIFICATION_A	False	1	16	-1	1.32324027	0.20330319	0.18833273	11.48250098	3.14589068	4	5	1	4	712	65008	31	6	3	4	0.29434165	0.3506325	0.56188985	0.09468569	-7.0657874	0.0	-8.25176956	0.0	\N	6.14117184	7.20290995	5.19740464	0.03145891	95	26	11	11	0	4.11344868	0.29434165	7.0657874	0.505599	-2.95233872	-0.21125735	0.0	0.0	1.11373239	0.0759425	-0.04684247	5	96	-0.9659258262890684	0.2588190451025203	DE40	MEDIAN_CORE	MEDIAN_CORE	MID_PIVOT|PIVOT|PIVOT_ZONE|TPO_PROFILE	VOLKITT|WAYNE
retest_hold_given_retest_contact	RG2_DE40_PERIOD_M5_1770595200_1771027200_11009031893861184278	14978647223693138341	15771716186537406924	DE40	VERIFICATION_A	False	1	17	-1	1.32324027	0.21588675	0.21046812	11.48250098	3.14589068	4	5	1	4	712	65129	31	6	3	4	0.29344122	0.3506325	0.56188985	0.09468569	-7.05320384	0.0	-8.239186	0.0	\N	6.15375541	7.21549351	5.2099882	0.03145891	95	26	11	11	0	4.10086512	0.29344122	7.05320384	0.50469857	-2.95233872	-0.21125735	0.0	0.0	1.11373239	0.0759425	-0.04684247	5	70	-0.9659258262890684	0.2588190451025203	DE40	MEDIAN_CORE	MEDIAN_CORE	MID_PIVOT|PIVOT|PIVOT_ZONE|TPO_PROFILE	VOLKITT|WAYNE
retest_hold_given_retest_contact	RG2_DE40_PERIOD_M5_1770595200_1771027200_11009031893861184278	14978647223693138341	13640886904132302226	DE40	VERIFICATION_A	False	0	18	-1	1.33109177	0.23734177	0.95195195	11.55063291	3.16455696	4	5	1	4	713	65380	31	6	3	4	0.3545858	0.41052926	0.53617648	0.09035266	-7.07488029	0.0	-8.26789953	0.0	\N	6.21044304	7.27848101	5.26107595	0.03164557	95	28	10	10	0	5.22382254	0.3545858	7.07488029	0.48023302	-1.85105774	-0.12564722	0.0	0.0	-1.11219952	-0.07958447	0.04684247	5	32	-0.9659258262890684	0.2588190451025203	DE40	MEDIAN_CORE	MEDIAN_CORE	MID_PIVOT|PIVOT|PIVOT_ZONE|TPO_PROFILE	VOLKITT|WAYNE
retest_hold_given_retest_contact	RG2_DE40_PERIOD_M5_1770595200_1771027200_11009031893861184278	13407593088402756587	15009658895741551002	DE40	VERIFICATION_A	False	1	2	1	1.41706506	0.03897319	0.06922435	0.61785492	6.41446685	4	4	1	3	71	9013	0	5	0	5	0.37233136	0.34994777	1.01472205	0.04459005	-32.95906176	0.0	-38.54110372	0.0	63.61047599	-0.50197464	2.30409478	-2.99625857	0.07274995	97	38	9	9	0	11.8326347	0.37233136	32.95906176	1.03710565	-21.12642706	-0.66477429	0.0	0.0	0.0	0.0	-0.0013135	4	108	0.8660254037844387	-0.4999999999999998	DE40	MEDIAN_CORE	MEDIAN_CORE	ADAPTIVE_VALUE|PIVOT|SENTINEL|TPO_PROFILE	VOLKITT|WAYNE
retest_hold_given_retest_contact	RG2_DE40_PERIOD_M5_1770595200_1771027200_11009031893861184278	13407593088402756587	154464001126042351	DE40	VERIFICATION_A	False	1	3	1	1.43571654	0.3195746	0.47409326	0.62598715	6.49889439	4	4	1	3	72	9307	0	5	0	5	0.38103026	0.34994777	1.01472205	0.04459005	-33.67295907	0.0	-39.32847215	0.0	64.44772033	-0.78867011	2.05433295	-3.31578393	0.07370749	97	38	9	9	0	12.2684649	0.38103026	33.67295907	1.04580455	-21.40449417	-0.66477429	0.0	0.0	0.0	0.0	0.0	4	61	0.8660254037844387	-0.4999999999999998	DE40	MEDIAN_CORE	MEDIAN_CORE	ADAPTIVE_VALUE|PIVOT|SENTINEL|TPO_PROFILE	VOLKITT|WAYNE
retest_hold_given_retest_contact	RG2_DE40_PERIOD_M5_1770595200_1771027200_11009031893861184278	13407593088402756587	370295963855909949	DE40	VERIFICATION_A	False	1	4	1	1.43571654	0.05633358	0.02330674	0.62598715	6.49889439	4	4	1	3	72	9464	0	5	0	5	0.3728546	0.34994777	1.01472205	0.04459005	-33.40971804	0.0	-39.06523113	0.0	64.44772033	-0.52542908	2.31757397	-3.05254291	0.07370749	97	38	9	9	0	12.00522387	0.3728546	33.40971804	1.03762889	-21.40449417	-0.66477429	0.0	0.0	0.0	0.0	0.0	4	473	0.8660254037844387	-0.4999999999999998	DE40	MEDIAN_CORE	MEDIAN_CORE	ADAPTIVE_VALUE|PIVOT|SENTINEL|TPO_PROFILE	VOLKITT|WAYNE
retest_hold_given_retest_contact	RG2_DE40_PERIOD_M5_1770595200_1771027200_11009031893861184278	13407593088402756587	14420278969311477944	DE40	VERIFICATION_A	False	1	5	1	1.4024892	0.31217856	0.03384165	0.61149969	6.34848797	4	4	1	3	83	9982	0	5	0	5	0.3809603	0.34988351	1.01453574	0.04458186	-32.89365277	0.0	-38.41827813	0.0	62.95618186	-0.77041761	2.00678873	-3.23904546	0.07200165	97	38	9	9	0	11.98453107	0.3809603	32.89365277	1.04561253	-20.9091217	-0.66465223	0.0	0.0	0.0	0.0	0.0	4	592	0.8660254037844387	-0.4999999999999998	DE40	MEDIAN_CORE	MEDIAN_CORE	ADAPTIVE_VALUE|PIVOT|SENTINEL|TPO_PROFILE	VOLKITT|WAYNE
retest_hold_given_retest_contact	RG2_DE40_PERIOD_M5_1770595200_1771027200_11009031893861184278	13407593088402756587	3723377692460957459	DE40	VERIFICATION_A	False	1	6	1	1.39317462	0.26003883	0.31588448	0.60743844	6.30632472	4	4	1	3	93	10620	0	5	0	5	0.37934143	0.34986807	1.01449098	0.04457989	-32.62512438	0.0	-38.11305814	0.0	62.53806069	-0.71523449	2.04352713	-3.16746705	0.07152345	97	38	9	9	0	11.85486984	0.37934143	32.62512438	1.04396433	-20.77025454	-0.6646229	0.0	0.0	0.0	0.0	2.206e-05	4	41	0.8660254037844387	-0.4999999999999998	DE40	MEDIAN_CORE	MEDIAN_CORE	ADAPTIVE_VALUE|PIVOT|SENTINEL|TPO_PROFILE	VOLKITT|WAYNE
retest_hold_given_retest_contact	RG2_DE40_PERIOD_M5_1770595200_1771027200_11009031893861184278	13407593088402756587	11871944238361678317	DE40	VERIFICATION_A	False	0	7	1	1.39317462	0.15786247	0.64345404	0.60743844	6.30632472	4	4	1	3	93	10681	0	5	0	5	0.37607191	0.34986807	1.01449098	0.04457989	-32.52294802	0.0	-38.01088178	0.0	62.53806069	-0.61305814	2.14570348	-3.06529069	0.07152345	97	38	9	9	0	11.75269348	0.37607191	32.52294802	1.04069481	-20.77025454	-0.6646229	0.0	0.0	0.0	0.0	2.206e-05	4	24	0.8660254037844387	-0.4999999999999998	DE40	MEDIAN_CORE	MEDIAN_CORE	ADAPTIVE_VALUE|PIVOT|SENTINEL|TPO_PROFILE	VOLKITT|WAYNE
retest_hold_given_retest_contact	RG2_DE40_PERIOD_M5_1770595200_1771027200_11009031893861184278	8673712862531272558	10045983449089998478	DE40	VERIFICATION_A	False	0	11	1	0.14109945	0.49398916	0.10945411	0.44023027	2.86008579	3	3	0	3	721	44394	0	5	0	5	0.38824035	0.34802058	0.83820877	0.00988059	-12.5443692	0.0	-12.89715967	0.0	\N	6.87140196	9.41119201	-1.50990518	0.02116492	94	30	10	10	0	5.54425332	0.38824035	12.5443692	0.87842854	-7.00011588	-0.49018818	0.0	0.0	0.0	0.0	0.0	3	215	-0.9659258262890683	-0.25881904510252063	DE40	MEDIAN_CORE	MEDIAN_CORE	PIVOT|SENTINEL|TPO_PROFILE	VOLKITT|WAYNE
retest_hold_given_retest_contact	RG2_DE40_PERIOD_M5_1770595200_1771027200_11009031893861184278	13958994246646700467	5883568271543613607	DE40	VERIFICATION_A	False	1	32	-1	1.34912998	0.49635154	0.97648903	4.57127202	1.40058269	4	6	0	6	2043	149425	11	1	6	0	-0.12193224	-0.03785125	0.42902938	0.09982625	-4.66190221	0.0	-5.40333574	0.0	\N	13.52658167	15.53123246	6.06928073	0.03207441	94	29	10	10	0	-1.64788768	-0.12193224	4.66190221	0.34494839	-6.30978989	-0.46688063	0.0	0.0	0.50855413	0.03969739	0.04763125	6	13	-1.0	-1.8369701987210297e-16	DE40	MEDIAN_CORE	MEDIAN_CORE	MID_PIVOT|PIVOT|PIVOT_ZONE|TPO_PROFILE	VOLKITT|WAYNE
retest_hold_given_retest_contact	RG2_DE40_PERIOD_M5_1770595200_1771027200_11009031893861184278	13958994246646700467	9137957753714674317	DE40	VERIFICATION_A	False	1	33	-1	1.34912998	0.21169112	0.21391443	4.57127202	1.40058269	4	6	0	6	2043	149506	11	1	6	0	-0.10086935	-0.03785125	0.42902938	0.09982625	-4.94656262	0.0	-5.68799615	0.0	\N	13.24192126	15.24657205	5.78462032	0.03207441	94	29	10	10	0	-1.36322727	-0.10086935	4.94656262	0.36601128	-6.30978989	-0.46688063	0.0	0.0	0.50855413	0.03969739	0.04763125	6	45	-1.0	-1.8369701987210297e-16	DE40	MEDIAN_CORE	MEDIAN_CORE	MID_PIVOT|PIVOT|PIVOT_ZONE|TPO_PROFILE	VOLKITT|WAYNE
